GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Acidipropionibacterium	damnosum		66:4431*	comb. nov. (VP)	(Lucena-Padrós et al. 2014) Scholz and Kilian 2016			IGBL13, CECT 8062, DSM 25450	794762	
Acidipropionibacterium	jensenii		66:4430*	comb. nov. (VP)	(van Niel 1928) Scholz and Kilian 2016		1, +	ATCC 4868, CCUG 48883, CIP 103028, DSM 20535	794758	
Acidipropionibacterium	microaerophilum		66:4431*	comb. nov. (VP)	(Koussémon et al. 2001) Scholz and Kilian 2016		1	M5, CNCM I-2360, DSM 13435	794761	
Acidipropionibacterium	olivae		66:4431*	comb. nov. (VP)	(Lucena-Padrós et al. 2014) Scholz and Kilian 2016			IGBL1, CECT 8061, DSM 25436	794763	
Acidipropionibacterium	thoenii		66:4430*	comb. nov. (VP)	(van Niel 1928) Scholz and Kilian 2016		1	ATCC 4874, JCM 6437, CCUG 28149, CIP 103029, DSM 20276, HAMBI 247, LMG 16455	794759	
Acidisoma			59:2289*	gen. nov. (VP)	Belova et al. 2009				517899	
Acidisoma	sibiricum		59:2289*	sp. nov. (VP)	Belova et al. 2009		1	TPB606, DSM 21000, VKM B-2487	787098	
Acidisoma	tundrae		59:2289*	sp. nov. (VP)	Belova et al. 2009		1	WM1, DSM 19999, VKM B-2488	787097	
Acidisphaera			50:1545*	gen. nov. (VP)	Hiraishi et al. 2000				517163	
Acidisphaera	rubrifaciens		50:1545*	sp. nov. (VP)	Hiraishi et al. 2000		1	HS-AP3, JCM 10600, DSM 16009	783272	
Aciditerrimonas			61:1284*	gen. nov. (VP)	Itoh et al. 2011				518093	
Aciditerrimonas	ferrireducens		61:1284*	sp. nov. (VP)	Itoh et al. 2011		1	IC-180, DSM 45281, JCM 15389	789251	
Acidithiobacillus			50:513*	gen. nov. (VP)	Kelly and Wood 2000				515013	
Acidithiobacillus	albertensis		50:514*	comb. nov. (VP)	(Bryant et al. 1988) Kelly and Wood 2000		1	ATCC 35403, DSM 14366	772585	
Acidithiobacillus	caldus		50:514*	comb. nov. (VP)	(Hallberg and Lindström 1995) Kelly and Wood 2000		1	ATCC 51756, DSM 8584, KU	772586	
Acidithiobacillus	ferridurans		63:4024*	sp. nov. (VP)	Hedrich and Johnson 2013		1	JCM 18981, ATCC 33020	791305	
Acidithiobacillus	ferriphilus		66:210*	sp. nov. (VP)	Falagán and Johnson 2016			M20, DSM 100412, JCM 30830	793753	
Acidithiobacillus	ferrivorans		60:469	sp. nov. (VL)	Hallberg et al. 2010		1	NO-37, JCM 15606, DSM 22755	788326	
Acidithiobacillus	ferrooxidans		50:513*	comb. nov. (VP)	(Temple and Colmer 1951) Kelly and Wood 2000		1	ATCC 23270, DSM 14882	772587	
Acidithiobacillus	thiooxidans		50:513*	comb. nov. (VP)	(Waksman and Joffe 1922) Kelly and Wood 2000		1	ATCC 19377, DSM 14887	772588	
Acidobacterium			41:456	gen. nov. (VL)	Kishimoto et al. 1991				515014	
Acidobacterium	ailaaui		66:5334*	sp. nov. (VP)	Myers and King 2016			PMMR2, DSM 27394, LMG 28340	794925	
Acidobacterium	capsulatum		41:456	sp. nov. (VL)	Kishimoto et al. 1991 emend. Pankratov et al. 2012	emended description: IJSEM 62:436*	1	161, DSM 11244, JCM 7670	772589	
Acidocella			46:362	gen. nov. (VL)	Kishimoto et al. 1996				515016	
Acidocella	aluminiidurans		60:767*	sp. nov. (VP)	Kimoto et al. 2010		1	AL46, NBRC 104303, VTCC-D9-1	788441	
Acidocella	aminolytica		46:362	comb. nov. (VL)	(Kishimoto et al. 1994) Kishimoto et al. 1996		1	101, ATCC 51361, DSM 11237, JCM 8796	772591	
Acidocella	facilis		46:362	comb. nov. (VL)	(Wichlacz et al. 1986) Kishimoto et al. 1996		1	ATCC 35904, PW2	783273	
Acidomonas			39:50*	gen. nov. (VP)	Urakami et al. 1989 emend. Yamashita et al. 2004	emended description: IJSEM 54:869*			515018	
Acidomonas	methanolica		39:54*	comb. nov. (VP)	(Uhlig et al. 1986) Urakami et al. 1989 emend. Yamashita et al. 2004	emended description: IJSEM 54:869*	1	ATCC 43581, DSM 5432, IMET 10945, MB 58, TK 0705	772593	
Acidothermus			36:435*	gen. nov. (VP)	Mohagheghi et al. 1986				515019	
Acidothermus	cellulolyticus		36:442*	sp. nov. (VP)	Mohagheghi et al. 1986		1	11B, ATCC 43068	772594	
Acidovorax			40:394*	gen. nov. (VP)	Willems et al. 1990				515020	
Acidovorax	anthurii		50:245*	sp. nov. (VP)	Gardan et al. 2000		1, p	CFBP 3232, DSM 16745	772595	
Acidovorax	avenae		42:117*	comb. nov. (VP)	(Manns 1909) Willems et al. 1992		1, p		783274	772596
Acidovorax	avenae	avenae	42:117*	comb. nov. (VP)	(Manns 1909) Willems et al. 1992		1, p	DSM 7227, LMG 2117, NCPPB 1011	772596	
Acidovorax	avenae	cattleyae	42:118*	comb. nov. (VP), homotypic syn.	(Pavarino 1911) Willems et al. 1992		1, p	NCPPB 961, DSM 17101	772597	787824
Acidovorax	avenae	citrulli	42:118*	comb. nov. (VP), homotypic syn.	(Schaad et al. 1978) Willems et al. 1992		1, p	ATCC 29625, ICMP 7500, DSM 17060	772598	787825
Acidovorax	caeni		58:77*	sp. nov. (VP)	Heylen et al. 2008		1	R-24608, DSM 19327, LMG 24103	787106	
Acidovorax	cattleyae		59:923	comb. nov. (VL)	(Pavarino 1911) Schaad et al. 2009		1, p	ATCC 33619, NCPPB 961, FC-507, LMG 2364, ICMP 2826, CFBP 2423	787824	
Acidovorax	citrulli		59:923	comb. nov. (VL)	(Schaad et al. 1978) Schaad et al. 2009		1, p	FC-247, ATCC 29625, ICMP 7500	787825	
Acidovorax	defluvii		49:1325	sp. nov. (VL)	Schulze et al. 1999		1	BSB411, DSM 12644	772599	
Acidovorax	delafieldii		40:396*	comb. nov. (VP)	(Davis 1970) Willems et al. 1990		1, +	ATCC 17505, CCUG 1779, DSM 64, LMG 5943	772600	
Acidovorax	facilis		40:394*	comb. nov. (VP)	(Schatz and Bovell 1952) Willems et al. 1990		1	ATCC 11228, CCUG 2113, DSM 649, LMG 2193	772601	
Acidovorax	konjaci		42:118*	comb. nov. (VP)	(Goto 1983) Willems et al. 1992		1, p	ATCC 33996, DSM 7481, ICMP 7733, K2, LMG 5691, PDDCC 7733	772603	
Acidovorax	oryzae		59:923	sp. nov. (VL)	Schaad et al. 2009		1, p	FC-143, ATCC 19882, NCPPB 1392, ICMP 3960	787826	
Acidovorax	radicis		61:2594*	sp. nov. (VP)	Li et al. 2011		1	N35, DSM 23535, LMG 25767	789526	
Acidovorax	soli		60:2718*	sp. nov. (VP)	Choi et al. 2010		1	BL21, JCM 15909, KCTC 22399	788914	
Acidovorax	temperans		40:396*	sp. nov. (VP)	Willems et al. 1990		1, +	CCUG 11779, DSM 7270, LMG 7169	772607	
Acidovorax	valerianellae		53:799*	sp. nov. (VP)	Gardan et al. 2003		1, p	CFBP 4730, NCPPB 4283, DSM 16619	772608	
Acidovorax	wautersii		63:2206*	sp. nov. (VP)	Vaneechoutte et al. 2013		1, +	NF 1078, CCUG 62584, LMG 26971	790829	
Acinetobacter			30:241 (AL)	genus (AL)	Brisou and Prévot 1954				515021	
Acinetobacter	albensis		65:3912*	sp. nov. (VP)	Krizova et al. 2015			ANC 4874, CCUG 67281, CCM 8611	793499	
Acinetobacter	apis		64:3603	sp. nov. (VL)	Kim et al. 2014			HYN18, JCM 18575, KACC 16906	792253	
Acinetobacter	baumannii		36:239*	sp. nov. (VP)	Bouvet and Grimont 1986		2	ATCC 19606, CIP 70.34, DSM 30007	772610	
Acinetobacter	baylyi		53:960*	sp. nov. (VP)	Carr et al. 2003		1	B2, CIP 107474, DSM 14961	772611	
Acinetobacter	beijerinckii		59:123*	sp. nov. (VP)	Nemec et al. 2009		2, ht	58a, CCUG 51249, CCM 7266, LUH 4759, NIPH 838	787668	
Acinetobacter	bereziniae		60:902*	sp. nov. (VP)	Nemec et al. 2010		2, ht	LMG 1003, CIP 70.12, ATCC 17924	788443	
Acinetobacter	bohemicus		65:1	sp. nov. (VL)	Krizova et al. 2015			ANC 3994, CIP 110496, CCUG 63842, CCM 8462	792450	
Acinetobacter	boissieri		63:1538*	sp. nov. (VP)	Álvarez-Pérez et al. 2013		1	SAP 284.1, CECT 8128, LMG 26959	790644	
Acinetobacter	bouvetii		53:961*	sp. nov. (VP)	Carr et al. 2003		1	4B02, CIP 107468, DSM 14964	772612	
Acinetobacter	brisouii		61:1499	sp. nov. (VL)	Anandham et al. 2011		1	5YN5-8, KACC 11602, DSM 18516	785346	
Acinetobacter	calcoaceticus		30:241 (AL)	species (AL)	(Beijerinck 1911) Baumann et al. 1968		2	ATCC 23055, CIP 81.08, DSM 30006	772613	
Acinetobacter	celticus		66:5397*	sp. nov. (VP)	Radolfova-Krizova et al. 2016			ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549	794966	
Acinetobacter	colistiniresistens		67:2141*	sp. nov. (VP)	Nemec et al. 2017			NIPH 2036, CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573	795535	
Acinetobacter	courvalinii		66:1682*	sp. nov. (VP)	Nemec et al. 2016	<i>Acinetobacter courvalinii</i> Nemec et al. 2016 comprises strains that were previously classified as genomic species 14 <i>sensu</i> Bouvet and Jeanjean		ANC 3623, CCUG 67960, CIP 110480, CCM 8635	794035	
Acinetobacter	defluvii		67:1712*	sp. nov. (VP)	Hu et al. 2017			WCHA30, CCTCC AB 2016203, GDMCC 1.1101, KCTC 52503	795456	
Acinetobacter	dijkshoorniae		66:4109*	sp. nov. (VP)	Cosgaya et al. 2016			JVAP01, CECT 9134, LMG 29605	794693	
Acinetobacter	dispersus		66:1683*	sp. nov. (VP)	Nemec et al. 2016	<i>Acinetobacter dispersus</i> Nemec et al. 2016 comprises strains that were previously classified as genomic species 17		ANC 4105, CCUG 67961, CIP 110500, CCM 8636	794036	
Acinetobacter	equi		66:887*	sp. nov. (VP)	Poppel et al. 2016			114, DSM 27228, CCUG 65204	793856	
Acinetobacter	gandensis		64:4013*	sp. nov. (VP)	Smet et al. 2014			UG 60467, ANC 4275, LMG 27960, DSM 28097	792373	
Acinetobacter	gerneri		53:961*	sp. nov. (VP)	Carr et al. 2003		1	9A01, CIP 107464, DSM 14967	772616	
Acinetobacter	grimontii		53:961*	sp. nov. (VP), heterotypic syn.	Carr et al. 2003	later synonym of <I>Acinetobacter junii</I>	2	17A04, CIP 107470, DSM 14968	772617	772620
Acinetobacter	guangdongensis		64:3420*	sp. nov. (VP)	Feng et al. 2014			1NM-4, GIMCC 1.656, CCTCC AB 2014199, KCTC 42012	792223	
Acinetobacter	guillouiae		60:902*	sp. nov. (VP)	Nemec et al. 2010		2, ht	LMG 988, CIP 63.46, ATCC 11171, CCUG 2491	788442	
Acinetobacter	gyllenbergii		59:124*	sp. nov. (VP)	Nemec et al. 2009		2	1271, CCUG 51248, CCM 7267, NIPH 2150, RUH 422	787669	
Acinetobacter	haemolyticus		36:239*	sp. nov., nom. rev. (VP)	(ex Stenzel and Mannheim 1963) Bouvet and Grimont 1986		2	ATCC 17906, CIP 64.3, DSM 6962	772618	
Acinetobacter	halotolerans		67:3140	sp. nov. (VL)	Dahal, Chaudhary and Kim 2017			R160, JCM 31009, KACC 18453, KEMB 9005-333	795767	
Acinetobacter	harbinensis		64:1513*	sp. nov. (VP)	Li et al. 2014		1	HITLi 7, CGMCC 1.12528, KCTC 32411	791822	
Acinetobacter	indicus		62:2889*	sp. nov. (VP)	Malhotra et al. 2012		1	A648, CCM 7832, DSM 25388	790312	
Acinetobacter	johnsonii		36:239*	sp. nov. (VP)	Bouvet and Grimont 1986		2	ATCC 17909, CIP 64.6, DSM 6963	772619	
Acinetobacter	junii		36:239*	sp. nov. (VP)	Bouvet and Grimont 1986		2	64.5, ATCC 17908, DSM 6964	772620	
Acinetobacter	kookii		63:4406*	sp. nov. (VP)	Choi et al. 2013		1	11-0202, KCTC 32033, JCM 18512	791314	
Acinetobacter	lactucae		66:3571*	sp. nov. (VP)	Rooney et al. 2016			NRRL B-41902, CCUG 68785	794598	
Acinetobacter	larvae		67:810*	sp. nov. (VP)	Liu et al. 2017			BRTC-1, ACCC 19936, JCM 31367	795207	
Acinetobacter	lwoffii		30:241 (AL)	species (AL)	(Audureau 1940) Brisou and Prévot 1954 emend. Bouvet and Grimont 1986		2, TA	ATCC 15309, CIP 644.10, DSM 2403, IMET 10416, NCTC 5866	772622	
Acinetobacter	modestus		66:1683*	sp. nov. (VP)	Nemec et al. 2016			NIPH 236, CCUG 67964, CIP 110444, CCM 8639	794039	
Acinetobacter	nectaris		63:1537*	sp. nov. (VP)	Álvarez-Pérez et al. 2013		1	SAP 763.2, CECT 8127, LMG 26958	790645	
Acinetobacter	nosocomialis		61:1499	sp. nov. (VL)	Nemec et al. 2011		2	LMG 10619, CCM 7791, RUH 2376, NIPH 2119	789231	
Acinetobacter	pakistanensis		65:1	sp. nov. (VL), heterotypic syn.	Abbas et al. 2015	synonymy: IJSEM 66:5616*		NCCP-644, JCM 18977, LMG 28467, KCTC 42081	792451	792450
Acinetobacter	parvus		53:1566*	sp. nov. (VP)	Nemec et al. 2003		2	CCM 7030, LMG 21765, LUH 4616, NIPH 384, DSM 16617	772624	
Acinetobacter	pittii		61:1499	sp. nov. (VL)	Nemec et al. 2011		2	LMG 1035, CIP 70.29, ATCC 19004, RUH 2206, NIPH 519	789232	
Acinetobacter	populi		65:4467*	sp. nov. (VP)	Li et al. 2015			PBJ7, CFCC 11170, KCTC 42272	793560	
Acinetobacter	pragensis		66:3902*	sp. nov. (VP)	Radolfova-Krizova et al. 2016			ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530	794674	
Acinetobacter	proteolyticus		66:1684*	sp. nov. (VP)	Nemec et al. 2016			NIPH 809, CCUG 67965, CIP 110482, CCM 8640, Bouvet & Jeanjean 631, Gilardi GLG 4638	794040	
Acinetobacter	puyangensis		63:2968*	sp. nov. (VP)	Li et al. 2013		1, p+	BQ4-1, CFCC 10780, JCM 18011	790967	
Acinetobacter	qingfengensis		64:1049*	sp. nov. (VP)	Li et al. 2014		1, p	2BJ1, CFCC 10890, KCTC 32225	791602	
Acinetobacter	radioresistens		38:209*	sp. nov. (VP)	Nishimura et al. 1988		1	DSM 6976, FO-1, IAM 13186	772626	
Acinetobacter	rudis		61:2842*	sp. nov. (VP)	Vaz-Moreira et al. 2011		1	G30, CCUG 57889, CECT 7818, DSM 24031, LMG 26107	789575	
Acinetobacter	schindleri		51:1898*	sp. nov. (VP)	Nemec et al. 2001		2	CNCTC 6736, LMG 19576, LUH 5832, NIPH 1034, DSM 16038, CCUG 45560	772627	
Acinetobacter	seifertii		65:941*	sp. nov. (VP)	Nemec et al. 2015			NIPH 973, CIP 110471, CCUG 34785, CCM 8535, LUH 1472, Gerner-Smidt 10090	792594	
Acinetobacter	soli		59:1555	sp. nov. (VL)	Kim et al. 2009		2	B1, KCTC 22184, JCM 15062	787892	
Acinetobacter	tandoii		53:962*	sp. nov. (VP)	Carr et al. 2003		1	4N13, CIP 107469, DSM 14670	772630	
Acinetobacter	tjernbergiae		53:961*	sp. nov. (VP)	Carr et al. 2003		1	7N16, CIP 107465, DSM 14971	772631	
Acinetobacter	towneri		53:961*	sp. nov. (VP)	Carr et al. 2003		1	AB1110, CIP 107472, DSM 14962	772632	
Acinetobacter	ursingii		51:1898*	sp. nov. (VP)	Nemec et al. 2001		2	CNCTC 6735, LMG 19575, LUH 3792, NIPH 137, CCUG 45559, DSM 16037	772633	
Acinetobacter	variabilis		65:863*	sp. nov. (VP)	Krizova et al. 2015			NIPH 2171, CIP 110486, CCUG 26390, CCM 8555, NIPH 546, Tjernberg & Ursing 151a	792593	
Acinetobacter	venetianus		59:1380*	sp. nov. (VP)	(ex Di Cello et al. 1997) Vaneechoutte et al. 2009		1	RAG-1, LMG 19082, ATCC 31012, CCUG 45561, LUH 3904, NIPH 1925	787907	
Acinetobacter	vivianii		66:1684*	sp. nov. (VP)	Nemec et al. 2016			NIPH 2168, CCUG 67967, CIP 110483, CCM 8642, Bouvet & Jeanjean 1240	794041	
Acrocarpospora			50:1170*	gen. nov. (VP)	Tamura et al. 2000				515024	
Acrocarpospora	corrugata		50:1170*	comb. nov. (VP)	(Williams and Sharples 1976) Tamura et al. 2000		1	ATCC 29331, DSM 43316, IFO 13972, NCIB 11120	772646	
Acrocarpospora	macrocephala		50:1170*	sp. nov. (VP)	Tamura et al. 2000		1	IFO 16266, R-55, DSM 44705	772647	
Acrocarpospora	phusangensis		63:2178*	sp. nov. (VP)	Niemhom et al. 2013		1	PS33-18, BCC 46906, NBRC 108782	790830	
Acrocarpospora	pleiomorpha		50:1170*	sp. nov. (VP)	Tamura et al. 2000		1	IFO 16267, R-31, DSM 44706	772648	
Actibacter			58:141*	gen. nov. (VP)	Kim et al. 2008 emend. Hyun et al. 2015	emended description: IJSEM 65:53*			517739	
Actibacter	haliotis		65:54*	sp. nov. (VP)	Hyun et al. 2015			W113, KACC 17209, JCM 18868	792410	
Actibacter	sediminis		58:142*	sp. nov. (VP)	Kim et al. 2008		1	JC2129, JCM 14002, KCTC 12704	787107	
Actibacterium			62:2861*	gen. nov. (VP)	Lucena et al. 2012				518279	
Actibacterium	atlanticum		65:2017	sp. nov. (VL)	Li et al. 2015			22II-S11-z10, LMG 27158, MCCC 1A09298	792956	
Actibacterium	mucosum		62:2863*	sp. nov. (VP)	Lucena et al. 2012 emend. Park et al. 2014	emended description: IJSEM 65:7 (List of Changes in Taxonomic Opinion no. 21)	1	CECT 7668, KCTC 23349, R46	790313	
Actibacterium	ureilyticum		66:2773*	sp. nov. (VP)	Lin et al. 2016			LS-811, BCRC 80823, JCM 30681	794360	
Actinaurispora			60:1663*	gen. nov. (VP)	Thawai et al. 2010	type species has been transferred to the genus <I>Plantactinospora</I>; IJSEM 62:2440*			517991	517909
Actinaurispora	siamensis		60:1665*	sp. nov. (VP)	Thawai et al. 2010		1	CM2-8, JCM 15677, BCC 34762	788614	790188
Actinoallomurus			59:1872*	gen. nov. (VP)	Tamura et al. 2009				517886	
Actinoallomurus	acaciae		60:558*	sp. nov. (VP)	Thamchaipenet et al. 2010		1	GMKU 931, BCC 28622, NBRC 104354, NRRL B-24610	788420	
Actinoallomurus	acanthiterrae		63:1878*	sp. nov. (VP)	Tang et al. 2013		1	2614A723, CCTCC AA 2012001, DSM 45727	790702	
Actinoallomurus	amamiensis		59:1872*	sp. nov. (VP)	Tamura et al. 2009		1	TT00-28, NBRC 103682, KCTC 19537	788027	
Actinoallomurus	bryophytorum		65:3763	sp. nov. (VL)	Li et al. 2015			NEAU-TX1-15, CGMCC 4.7200, JCM 30340	793367	
Actinoallomurus	caesius		59:1872*	sp. nov. (VP)	Tamura et al. 2009		1	A3015, KCTC 19535, NBRC 103678	788028	
Actinoallomurus	coprocola		59:1873*	sp. nov. (VP)	Tamura et al. 2009		1	TT04-09, KCTC 19542, NBRC 103688	788029	
Actinoallomurus	fulvus		59:1873*	sp. nov. (VP)	Tamura et al. 2009		1	TT99-66, KCTC 19536, NBRC 103680	788030	
Actinoallomurus	iriomotensis		59:1873*	sp. nov. (VP)	Tamura et al. 2009		1	TT02-47, KCTC 19539, NBRC 103685	788031	
Actinoallomurus	liliacearum		62:2549	sp. nov. (VL)	Koyama et al. 2012		1	K10-0485, BCC 49424, JCM 17938, NBRC 108762	790163	
Actinoallomurus	luridus		59:1873*	sp. nov. (VP)	Tamura et al. 2009		1	TT02-15, KCTC 19538, NBRC 103683	788032	
Actinoallomurus	oryzae		61:740*	sp. nov. (VP)	Indananda et al. 2011		1	GMKU 370, BCC 31373, NBRC 105246	789124	
Actinoallomurus	purpureus		59:1874*	sp. nov. (VP)	Tamura et al. 2009		1	TTN02-30, KCTC 19541, NBRC 103687	788033	
Actinoallomurus	radicium		62:298*	sp. nov. (VP)	Matsumoto et al. 2012		1	K08-0182, DSM 45523, JCM 17294, NBRC 107678	789684	
Actinoallomurus	spadix		59:1872*	comb. nov. (VP)	(Nonomura and Ohara 1971) Tamura et al. 2009		1	NBRC 14099, NRRL B-16128, JCM 3146, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, DSM 43459, KCTC 9252, NCIMB 11118	788026	
Actinoallomurus	vinaceus		62:2549	sp. nov. (VL)	Koyama et al. 2012		1	K10-0528, BCC 49425, JCM 17939, NBRC 108763	790164	
Actinoallomurus	yoronensis		59:1874*	sp. nov. (VP)	Tamura et al. 2009		1	TTN02-22, KCTC 19540, NBRC 103686	788034	
Actinoalloteichus			50:1439*	gen. nov. (VP)	Tamura et al. 2000				515028	
Actinoalloteichus	cyanogriseus		50:1439*	sp. nov. (VP)	Tamura et al. 2000		1	AS 4.1159, DSM 43889, IFO 14455, JCM 6095	772655	
Actinoalloteichus	hoggarensis		65:2009*	sp. nov. (VP)	Boudjelal et al. 2015			AH97, DSM 45943, CECT 8639	792899	
Actinoalloteichus	hymeniacidonis		56:2311*	sp. nov. (VP)	Zhang et al. 2006		1	HPA 177, CGMCC 4.2500, JCM 13436	785564	
Actinoalloteichus	nanshanensis		61:1168*	sp. nov. (VP)	Xiang et al. 2011		1	NEAU 119, CGMCC 4.5714, NBRC 106685	789189	
Actinoalloteichus	spitiensis		55:2563*	sp. nov. (VP)	Singla et al. 2005		1	DSM 44848, JCM 12472, MTCC 6194, RMV-1378	772656	
Actinobacillus			30:241 (AL)	genus (AL)	Brumpt 1910				515029	
Actinobacillus	actinomycetemcomitans		30:241 (AL)	species (AL)	(Klinger 1912) Topley and Wilson 1929	"transfer to the genus <I>Haemophilus</I> is ""not favored"" by ICSB subcommittee (IJSB 37, 474)"	2, ht	DSM 8324, NCTC 9710	785423	785424
Actinobacillus	anseriformium		62:357*	sp. nov. (VP)	Bisgaard and Christensen 2012	The tentative name was Bisgaard taxon 26	2, t	F66, CCM 7846, CCUG 60324	789685	
Actinobacillus	arthritidis		52:1244*	sp. nov. (VP)	Christensen et al. 2002		2, t	ATCC 13376, CCUG 24862, Wetmore 1706	783275	
Actinobacillus	capsulatus		30:241 (AL)	species (AL)	Arseculeratne 1962 emend. Kuhnert et al. 2007		2, t	Frederiksen P243	783276	
Actinobacillus	delphinicola		46:652*	sp. nov. (VP)	Foster et al. 1996		2, t	DSM 11374, M906/93, NCTC 12870	772658	
Actinobacillus	equuli		30:241 (AL)	species (AL)	(van Straaten 1918) Haupt 1934		2, ht	ATCC 19392	783277	783278
Actinobacillus	equuli	equuli	52:1575*	subsp. nov. (VP)	(van Straaten 1918) Christensen et al. 2002	subspecies automatically created according to Rule 40d (formerly Rule 46)	2, ht	ATCC 19392, CCUG 2041, CIP 103284, JCM 2432, LMG 3736, NCTC 8529	783278	
Actinobacillus	equuli	haemolyticus	52:1575*	subsp. nov. (VP)	Christensen et al. 2002		2, t	CCUG 19799, F 154, NCTC 13195	783279	
Actinobacillus	hominis		35:375	sp. nov. (VL)	Friis-Moeller 1985		2	12, NCTC 11529, P578	783280	
Actinobacillus	indolicus		46:956*	sp. nov. (VP)	Møller et al. 1996		1	46KC2	783281	
Actinobacillus	lignieresii		30:241 (AL)	species (AL)	Brumpt 1910		2, ht	NCTC 4189	783282	
Actinobacillus	minor		46:955*	sp. nov. (VP)	Moeller et al. 1996		1	NM305	783283	
Actinobacillus	muris		38:220	sp. nov. (VL)	Bisgaard 1988		1	80-443D, CCUG 16938	783284	793343
Actinobacillus	pleuropneumoniae		33:513*	comb. nov. (VP)	(Shope 1964) Pohl et al. 1983	In the abstract of the paper by Pohl et al. 1983, the type strain is mistakenly cited as 4047 instead of Shope 4074.	2, t	ATCC 27088, CCM 5869, Shope 4074, CCUG 12837, CIP 100916, DSM 13472	772660	
Actinobacillus	porcinus		46:956*	sp. nov. (VP)	Moeller et al. 1996		1	NM319	783285	
Actinobacillus	rossii		40:151*	sp. nov. (VP)	Sneath and Stevens 1990 emend. Christensen et al. 2005		2, t	A55, A68, ATCC 27072, CCUG 12395, CIP 102634, NCTC 10801, P624, Ross 192	772661	
Actinobacillus	scotiae		48:933*	sp. nov. (VP)	Foster et al. 1998		2, t	M2000/95/1, NCTC 12922	783286	
Actinobacillus	seminis		40:151*	sp. nov., nom. rev. (VP)	(ex Baynes and Simmons 1960) Sneath and Stevens 1990		2, t	A51, A65, ATCC 15768, NCTC 10851, Simmons K3844-C	783287	
Actinobacillus	succinogenes		49:214*	sp. nov. (VP)	Guettler et al. 1999		1	130Z, ATCC 55618	783288	
Actinobacillus	suis		30:241 (AL)	species (AL)	van Dorssen and Jaartsveld 1962		2, ht	CCM 5586	783289	
Actinobacillus	ureae		36:343*	comb. nov. (VP)	(Jones 1962) Mutters et al. 1986		2	ATCC 25976, DSM 5568, Henriksen 3520/59, NCTC 10219	772662	
Actinobaculum			47:901*	gen. nov. (VP)	Lawson et al. 1997 emend. Yassin et al. 2015	emended description: IJSEM 65:621*			515030	
Actinobaculum	massiliae		56:2025	orthographically incorrect name	Greub and Raoult 2006		2		785515	785464
Actinobaculum	massiliense		56:2025	sp. nov. (VL)	Greub and Raoult 2006	The type strain deposited in the Collection of Institut Pasteur (CIP 107404) is no longer available. The strain deposits in the CCUG and DSMZ culture collections, CCUG 47753 and DSM 19118, are not identical to the original type strain described by Greub a	2	FC3, CSUR P1982, DSM 100580	785464	
Actinobaculum	schaalii		47:902*	sp. nov. (VP)	Lawson et al. 1997		2	CCUG 27420, DSM 15541	772663	792534
Actinobaculum	suis		47:901*	comb. nov. (VP)	(Wegienek and Reddy 1982) Lawson et al. 1997 emend. Yassin et al. 2015	emended description: IJSEM 65:621*	2, t	ATCC 33144, DSM 20639, Soltys 50052, CIP 105361	772664	
Actinobaculum	urinale		53:682*	sp. nov. (VP)	Hall et al. 2003		2	CCUG 46093, CIP 107424, DSM 15805	772665	792535
Actinobispora			41:527*	gen. nov. (VP), heterotypic syn.	Jiang et al. 1991	type species transferred to the genus <I>Pseudonocardia</I>			515032	516421
Actinobispora	alaniniphila		49:885*	sp. nov. (VP)	Xu et al. 1999		1	CCTCC AA97001, Y-16303, DSM 44660	772668	780163
Actinobispora	aurantiaca		49:885*	sp. nov. (VP)	Xu et al. 1999		1	CCTCC AA97002, Y-14860, DSM 44773	772669	780168
